
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 2 134218496 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 2 134218497 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIInterface::sendAndReceive error calling writeRead, output=5 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=POS? 3 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=POS? 3 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=VOL? 9 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=TAD? 8 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=TSP? 8 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 8 83886082 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 8 83886080 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 8 83886081 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 8 83886337 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 8 83886338 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
